,name,con,proper,absmag,newra,newdec,newdist,newmag,spectral_type,temperature
42,Gaia 5958190117206636544,Sco,,-1.433,114.7251977860466,-47.259176648007546,1089.2249474832054,8.752587899064093,B,21435.177716755432
43,Gaia 4072362542662425088,Sgr,,-3.483,25.05862966504652,23.457319387481757,1105.969255204718,6.735715271007383,G,5465.163391615079
44,Gaia 4045452957646426112,Sgr,,-2.011,82.63958960120245,8.246813248065731,1115.223688627717,8.22580992881916,Undefined,
45,Gaia 4046548213012952064,Sgr,,-1.227,61.18629147024927,10.48729762252171,1119.8764380284708,9.018850536374464,Undefined,
46,Gaia 6728225286053185536,Sgr,,-2.696,343.8362892573644,-73.87195920049896,1121.4835106215078,7.5529644622711025,Undefined,
47,Gaia 6733573104452447232,Sgr,,-2.121,9.74108164408328,-49.73265560935421,1126.4600977814475,8.137579062322086,Undefined,
48,Gaia 6727954947964099584,CrA,,-2.037,75.5318539050452,-13.432057235478748,1135.5645135611653,8.239059061725193,Undefined,
49,Gaia 4036378997418894848,Sco,,-2.256,112.91433575805792,-57.96090898616853,1136.3264388359132,8.021515557489227,G,5332.457534967982
50,Gaia 4062661963893307392,Sgr,,-1.747,99.83535020866134,31.44106361496145,1148.2894951027406,8.553256958933154,G,5789.408239070261
51,Gaia 4069889401731377152,Sgr,,-1.963,93.08838712802792,58.51062226339494,1162.7425547502833,8.364417836633873,K,3889.209072231671
52,Gaia 6727238955409387520,CrA,,-1.774,71.23945332885228,-15.425843684310925,1168.7218015993308,8.564555727712836,Undefined,2311.253457312517
53,Gaia 4037637354123218944,CrA,,-2.529,340.99497200431625,-80.61339165615641,1181.3523381085831,7.832897225896467,K,4203.567614938369
54,Gaia 4063940975159928832,Sgr,,-3.48,263.7240077036357,-18.074621546088736,1181.9126402433792,6.882926886692562,G,5335.5374473987595
55,Gaia 4035476440173265408,CrA,,-2.354,98.87762223935007,-68.29302072110798,1192.0343439000512,8.027443840575671,M,3313.754610684776
56,Gaia 6729849406479593472,CrA,,-2.134,51.56881246109419,-34.509624626893064,1197.3789487220072,8.257158092439694,M,2507.345860455062
57,Gaia 4096322378505101824,Sgr,,-1.822,27.283835956991386,72.70072778715796,1218.9944918417923,8.608008716081574,F,6453.072675678841
58,Gaia 4065460191011641344,Sgr,,-1.178,78.67997909716487,46.022541774705786,1228.4584690188233,9.268802393495086,F,6379.832130149707
59,Gaia 6732201742884201472,Sgr,,-1.196,48.49101417002714,-10.413346138647148,1229.4439780320065,9.252543720331474,Undefined,
60,HIP 83963,Oph,,-2.848,174.83726858001904,8.27693093675609,1245.5993273881663,7.628891825226112,Undefined,
61,Gaia 6760047179785618432,Sgr,,-1.675,8.718914819156332,-16.50470668465014,1247.2875898621896,8.804833006326191,Undefined,
62,Gaia 4044838403709267968,Sgr,,-1.948,71.66656878594402,8.443905499033328,1247.3961332428253,8.532021967318924,Undefined,
63,Gaia 6726565130896553984,CrA,,-1.989,75.66904576577974,-24.36867060583768,1255.8832784904805,8.50574639022619,K,4774.169027297565
64,Gaia 4037516648363282432,CrA,,-2.415,85.8489548548583,-10.129879766302718,1265.7757294616338,8.096783820328525,F,6744.750760162165
65,Gaia 4037107703166311936,CrA,,-1.752,92.68853463230909,-5.150883776660694,1265.8406635480335,8.759895213648203,Undefined,
66,Gaia 4121846136559801856,Oph,,-1.445,199.88438422234927,50.79860034860323,1272.5378259508975,9.078353502618016,G,5537.530484100002
67,Gaia 5960771053340939264,Sco,,-2.322,137.57605010147742,-57.72109358465739,1273.591204329082,8.203150255404939,G,5429.730751587964
68,Gaia 6732325541019828224,Sgr,,-2.155,26.357841547514933,-25.523628172480755,1276.3858953399886,8.37490998195609,Undefined,
69,Gaia 6724714309229780992,CrA,,-1.77,74.02504245404202,-46.47410830101733,1282.1533821818368,8.769699911602853,K,3712.612773779863
70,Gaia 6725441326947390464,CrA,,-1.069,91.99450945509824,-41.914447894853105,1282.659009017371,9.471556079282692,G,5344.7999550622935
71,Gaia 5972523556940344320,Sco,,-2.721,139.3690183899902,-37.12558690202464,1285.4629249328573,7.824297776620293,K,3732.8621436080552
72,Gaia 6730263853638181888,CrA,,-2.044,22.48922744823476,-41.103701811614926,1291.8829503785255,8.512115833359085,Undefined,
73,Gaia 6725780251405471744,CrA,,-1.692,85.5230461535832,-23.49836324592678,1301.3039623205802,8.879893760824052,K,5125.866147313845
74,Gaia 4107607078653140992,Oph,,-1.534,144.17570710349756,16.673906980132006,1301.669154999019,9.038503068561663,K,3715.491565882669
75,Gaia 6760857348056559616,Sgr,,-1.238,37.183566683039786,11.39204165972777,1315.27116101856,9.35707648882066,B,22349.17298775873
76,Gaia 6735836900129759232,Sgr,,-2.229,347.3494817103037,-32.798996830409976,1319.8478541537966,8.373619353340708,Undefined,
77,Gaia 4038547719768365056,Sgr,,-2.088,83.73088180944674,6.9151428677807365,1321.0238436121003,8.516553282076085,Undefined,
78,Gaia 4092221754255564800,Sgr,,-2.442,323.27210570799105,33.612057650160004,1321.9425618805162,8.16406292778947,F,6485.69041556713
79,Gaia 4046241861648385536,Sgr,,-1.805,296.56814756798065,-41.35123249174491,1327.6123046407713,8.810356344522035,Undefined,
80,Gaia 4036852822616282112,Sco,,-3.467,210.4115861867768,-76.75727008319156,1339.749691533941,7.16811832861511,K,4405.119324533535
81,Gaia 6029002587449707520,Oph,,-1.925,159.8081427423513,2.3843136883895215,1346.7258025092085,8.721395905195639,Undefined,
82,Gaia 6731706412889884672,Sgr,,-2.439,17.403430512666816,-27.039791208586472,1351.3476068855866,8.214835384393751,Undefined,
83,Gaia 6731840106635916288,Sgr,,-2.208,8.509073845430889,-43.102410336841814,1352.2976996063962,8.447361546283174,Undefined,
84,Gaia 4062363553949213696,Sgr,,-1.881,94.64126275727416,28.435804969989217,1370.536602490238,8.803453192983074,F,6972.080340607371
85,Gaia 4069138194755977216,Sgr,,-1.761,96.64435365449933,46.888882384111966,1384.5817786543348,8.945593059596986,K,4848.409094920103
86,Gaia 5962141491462774784,Sco,,-2.193,116.1684371513778,-9.839288930358691,1393.7545304916066,8.527931460487842,A,8272.962034727248
87,Gaia 4064682767540704768,Sgr,,-1.375,82.21743279029505,37.83978862025842,1394.2561999492914,9.346712921897527,F,6585.720711955403
88,Gaia 6725078896091374592,CrA,,-1.411,95.18432342013568,-41.7134620211768,1396.483209355819,9.314178591599536,K,5045.16571090936
89,Gaia 6722726976308370432,CrA,,-1.779,59.63377801287402,-31.981698735316947,1396.5306792656447,8.946252404049876,K,3952.0299686921016
90,Gaia 4098681930454809088,Sgr,,-2.497,333.09250097351173,44.30223008335662,1409.2840160777178,8.247992631215105,K,3708.303258503224
91,Gaia 6723828446445578240,CrA,,-1.75,72.73744442703314,-13.37339959331216,1410.4716513962792,8.996821809188976,M,2972.290110923999
92,Gaia 4111641500443625472,Oph,,-2.41,141.03356830053275,40.77990580772103,1415.140355076211,8.343997578849933,K,4432.009969950313
93,Gaia 5972819845270132736,Sco,,-4.267,168.06523152354552,-47.75936046880804,1423.748360076952,6.500166184259522,G,5501.092963336511
94,Gaia 4076368651992932864,Sgr,,-1.063,55.93599290914547,35.656206948728226,1423.9198168204216,9.70442767089714,K,5165.8143652637
95,Gaia 6723031571083884544,CrA,,-1.295,75.04514892907832,-37.75488102454356,1426.917354651921,9.476994100128143,K,4788.824417615377
96,Gaia 6722632585802847232,CrA,,-1.916,54.324053953245254,-42.85659635281988,1428.400334734528,8.85824971647148,M,3640.735978018569
97,Gaia 6728998006513980416,CrA,,-1.63,43.93485868894461,-34.233772645282194,1429.167282053332,9.145415326672648,K,5017.958672339327
98,Gaia 4074624787842599936,Sgr,,-1.625,18.439754710708815,28.888393258582152,1429.6461876976537,9.151142852559968,F,6796.172166949043
99,Gaia 4035477226085457920,CrA,,-1.747,148.7278194067611,-87.01563231246402,1439.135459201202,9.043508370012624,O,42322.14974343152
100,Gaia 4064540788752706048,Sgr,,-3.154,85.2283398065103,35.3543566355545,1439.6997580110324,7.637359658272983,A,8452.510597362243
101,Gaia 6735032469955051520,Sgr,,-1.286,71.1729074323198,11.081861177779334,1441.7217887558245,9.508407310012233,Undefined,
